index,Order ID,Date,Status,Fulfilment,ship-service-level,Category,Size,Courier Status,Qty,Amount,ship-city,ship-state,ship-postal-code,B2B,fulfilled-by
94594,171-0012485-5716360,06-26-22,Shipped,Amazon,Expedited,T-shirt,M,Shipped,1,1399,MUMBAI,MAHARASHTRA,400083,FALSE,
114885,171-0012628-8493178,06/10/22,Shipped,Amazon,Expedited,T-shirt,S,Shipped,1,1229,HAMIRPUR,UTTAR PRADESH,210506,FALSE,
78938,171-0012693-2893106,05/07/22,Cancelled,Merchant,Standard,T-shirt,S,On the Way,0,538.1,SRI GANGANAGAR,RAJASTHAN,335001,FALSE,Easy Ship
78939,171-0012693-2893106,05/07/22,Cancelled,Merchant,Standard,T-shirt,S,On the Way,0,477.14,SRI GANGANAGAR,RAJASTHAN,335001,FALSE,Easy Ship
58868,171-0013733-3853176,05-24-22,Cancelled,Amazon,Expedited,Trousers,L,Cancelled,0,,LUCKNOW,UTTAR PRADESH,226010,FALSE,
78593,171-0013919-1772325,05/08/22,Shipped,Amazon,Expedited,Shirt,XS,Shipped,1,405,MUMBAI,MAHARASHTRA,400086,TRUE,
91475,171-0014231-7760344,06-29-22,Pending,Amazon,Expedited,T-shirt,XS,Shipped,1,850,AHMEDABAD,Gujarat,380015,FALSE,
91476,171-0014231-7760344,06-29-22,Pending,Amazon,Expedited,T-shirt,XS,Unshipped,1,1364,AHMEDABAD,Gujarat,380015,FALSE,
37363,171-0014382-1201107,04/08/22,Shipped,Amazon,Expedited,T-shirt,XS,Shipped,1,788,VISAKHAPATNAM,ANDHRA PRADESH,530005,FALSE,
89630,171-0014401-2248350,05/01/22,Shipped,Amazon,Expedited,T-shirt,L,Shipped,1,1146,Pune,MAHARASHTRA,411007,FALSE,
17181,171-0014460-2527559,04-20-22,Shipped,Amazon,Expedited,T-shirt,XL,Shipped,1,968,KOLKATA,WEST BENGAL,700025,FALSE,
39953,171-0015353-3027542,04/06/22,Shipped,Amazon,Expedited,T-shirt,M,Shipped,1,1126,JAMSHEDPUR,JHARKHAND,832110,FALSE,
24515,171-0015435-1981904,04-16-22,Shipped,Amazon,Expedited,Shirt,L,Shipped,1,459,Pimpri Chinchwad,MAHARASHTRA,412101,FALSE,
24516,171-0015435-1981904,04-16-22,Shipped,Amazon,Expedited,Shirt,L,Shipped,1,517,Pimpri Chinchwad,MAHARASHTRA,412101,FALSE,
92737,171-0016280-3851557,06-28-22,Waiting for Pick Up,Merchant,Standard,Blazzer,M,Unshipped,1,735,Mumbai,MAHARASHTRA,400059,FALSE,Easy Ship
22444,171-0018575-6317167,04-17-22,Delivered to Buyer,Merchant,Standard,Shirt,S,Shipped,1,459,JEELUGU MILLI,ANDHRA PRADESH,534456,FALSE,Easy Ship
124458,171-0019226-0428320,06/04/22,Shipped,Amazon,Expedited,Shirt,S,Shipped,1,735,GUWAHATI,ASSAM,781020,FALSE,
90312,171-0019769-3152361,05/01/22,Shipped,Amazon,Expedited,T-shirt,XL,Shipped,1,788,JODHPUR,RAJASTHAN,342001,FALSE,
99357,171-0019960-6156301,06-22-22,Shipped,Amazon,Expedited,T-shirt,3XL,Shipped,1,626,BENGALURU,KARNATAKA,560084,FALSE,
99358,171-0019960-6156301,06-22-22,Shipped,Amazon,Expedited,T-shirt,3XL,Shipped,1,635,BENGALURU,KARNATAKA,560084,FALSE,
84083,171-0020375-5486738,05/04/22,Shipped,Amazon,Expedited,T-shirt,XS,Shipped,1,1523,THANE,MAHARASHTRA,401107,FALSE,
8790,171-0020514-5628364,04-25-22,Shipped,Amazon,Expedited,Shirt,M,Shipped,1,329,LUCKNOW,UTTAR PRADESH,226012,FALSE,
93062,171-0020886-7442702,06-27-22,Waiting for Pick Up,Merchant,Standard,Trousers,XS,Unshipped,1,388,GUWAHATI,ASSAM,781009,FALSE,Easy Ship
80720,171-0021152-9927554,05/06/22,Shipped,Amazon,Expedited,T-shirt,S,Shipped,1,543,RUDRAPUR,UTTARAKHAND,263153,FALSE,
96956,171-0021649-9845167,06-24-22,Cancelled,Amazon,Expedited,Trousers,XL,Unshipped,1,493,KOLKATA,WEST BENGAL,700052,FALSE,
7075,171-0022303-3275527,04-26-22,Shipped,Amazon,Expedited,T-shirt,XL,Shipped,1,635,BENGALURU,KARNATAKA,560062,FALSE,
12297,171-0022483-5361108,04-23-22,Shipped,Amazon,Expedited,Shirt,3XL,Shipped,1,518,Noida,UTTAR PRADESH,201301,TRUE,
47195,171-0022547-6408324,04/02/22,Shipped,Amazon,Expedited,Blazzer,L,Shipped,1,774,BAHADURGARH,HARYANA,124507,FALSE,
119280,171-0022727-5683521,06/07/22,Delivered to Buyer,Merchant,Standard,Shirt,XL,Shipped,1,376,MELPATTAMPAKKAM,TAMIL NADU,607104,FALSE,Easy Ship
117298,171-0022916-4817928,06/08/22,Shipped,Amazon,Expedited,Shirt,L,Shipped,1,754,BENGALURU,KARNATAKA,560047,FALSE,
43460,171-0023053-5975547,04/04/22,Shipped,Amazon,Expedited,T-shirt,3XL,Shipped,1,646,GORAKHPUR,UTTAR PRADESH,273001,FALSE,
3270,171-0024891-4859557,04-28-22,Delivered to Buyer,Merchant,Standard,Blazzer,M,Shipped,1,625,BOKARO STEEL CITY,JHARKHAND,827004,FALSE,Easy Ship
47133,171-0025592-7836326,04/02/22,Shipped,Amazon,Expedited,Shirt,3XL,Shipped,1,449,NAVI MUMBAI,MAHARASHTRA,410209,FALSE,
123191,171-0026869-6849909,06/05/22,Shipped,Amazon,Expedited,Shirt,M,Shipped,1,318,RANCHI,JHARKHAND,834009,FALSE,
10085,171-0027282-8205950,04-24-22,Cancelled,Amazon,Expedited,Shirt,M,Unshipped,1,353,Varanasi,UTTAR PRADESH,221405,FALSE,
23500,171-0028006-0248319,04-16-22,Shipped,Amazon,Expedited,T-shirt,L,Shipped,1,597,KOLKATA,WEST BENGAL,700065,FALSE,
102972,171-0028052-5114773,06-19-22,Delivered to Buyer,Merchant,Standard,T-shirt,M,Shipped,1,845,NEW DELHI,DELHI,110065,FALSE,Easy Ship
52364,171-0028340-3013948,05-29-22,Shipped,Amazon,Expedited,Trousers,XL,Shipped,1,493,PUNE,MAHARASHTRA,411021,FALSE,
112702,171-0030008-7434775,06/12/22,Delivered to Buyer,Merchant,Standard,T-shirt,L,Shipped,1,1301,TIRUCHIRAPPALLI,TAMIL NADU,620003,FALSE,Easy Ship
85671,171-0030478-7269111,05/03/22,Shipped,Amazon,Expedited,T-shirt,M,Shipped,1,599,Kakkanad,KERALA,682030,FALSE,
123553,171-0031114-0715560,06/04/22,Delivered to Buyer,Merchant,Standard,Shirt,XXL,Shipped,1,301,MUMBAI,MAHARASHTRA,400093,FALSE,Easy Ship
123554,171-0031114-0715560,06/04/22,Delivered to Buyer,Merchant,Standard,Shirt,XL,Shipped,1,333,MUMBAI,MAHARASHTRA,400093,FALSE,Easy Ship
83151,171-0031163-6751548,05/04/22,Shipped,Amazon,Expedited,Shirt,XXL,Shipped,1,471,MEERUT,UTTAR PRADESH,250005,FALSE,
123610,171-0031235-3897920,06/04/22,Cancelled,Amazon,Expedited,T-shirt,XS,Unshipped,1,1125,SIROHI,RAJASTHAN,307001,FALSE,
42450,171-0032296-9399564,04/05/22,Delivered to Buyer,Merchant,Standard,T-shirt,XL,Shipped,1,688,HYDERABAD (500034),TELANGANA,500034,FALSE,Easy Ship
55351,171-0032816-1151573,05-27-22,Delivered to Buyer,Merchant,Standard,Trousers,L,Shipped,1,338,GURGAON,HARYANA,122002,FALSE,Easy Ship
55352,171-0032816-1151573,05-27-22,Delivered to Buyer,Merchant,Standard,T-shirt,M,Shipped,1,450,GURGAON,HARYANA,122002,FALSE,Easy Ship
89763,171-0033151-1873156,05/01/22,Shipped,Amazon,Expedited,Shirt,L,Shipped,1,399,RATNAGIRI,MAHARASHTRA,415639,FALSE,
41350,171-0033526-5615522,04/05/22,Shipped,Amazon,Expedited,T-shirt,M,Shipped,1,1099,NEW DELHI,DELHI,110096,FALSE,
79729,171-0033924-7593154,05/07/22,Cancelled,Amazon,Expedited,Shirt,3XL,Cancelled,0,,PORBANDAR,Gujarat,360575,FALSE,
113107,171-0034866-9791531,06/11/22,Shipped,Amazon,Expedited,Shirt,S,Shipped,1,635,Hyderabad,TELANGANA,500026,FALSE,
34983,171-0035451-9642759,04/09/22,Shipped,Amazon,Expedited,Trousers,S,Shipped,1,563,AHMEDABAD,Gujarat,382470,FALSE,
34984,171-0035451-9642759,04/09/22,Shipped,Amazon,Expedited,Trousers,S,Shipped,1,560,AHMEDABAD,Gujarat,382470,FALSE,
117632,171-0035749-8679555,06/08/22,Cancelled,Merchant,Standard,Shirt,XL,On the Way,0,309.52,PATNA,BIHAR,800025,FALSE,Easy Ship
3760,171-0035884-6656354,04-28-22,Delivered to Buyer,Merchant,Standard,T-shirt,XL,Shipped,1,1238,SAHARSA,BIHAR,852201,FALSE,Easy Ship
105674,171-0036016-8375546,06-17-22,Delivered to Buyer,Merchant,Standard,T-shirt,XXL,Shipped,1,562,JAIPUR,RAJASTHAN,302019,FALSE,Easy Ship
91331,171-0036236-3921935,06-29-22,Pending,Amazon,Expedited,Shirt,XL,Unshipped,1,301,NEW DELHI,DELHI,110005,FALSE,
123233,171-0036339-8993962,06/05/22,Cancelled,Amazon,Expedited,Trousers,XXL,Unshipped,1,764,CHANDAUSI,UTTAR PRADESH,244412,FALSE,
109700,171-0036605-7601963,06-14-22,Delivered to Buyer,Merchant,Standard,T-shirt,L,Shipped,1,850,NEW DELHI,DELHI,110034,FALSE,Easy Ship
109701,171-0036605-7601963,06-14-22,Delivered to Buyer,Merchant,Standard,T-shirt,L,Shipped,1,988,NEW DELHI,DELHI,110034,FALSE,Easy Ship
27919,171-0038161-4389930,04-14-22,Shipped,Amazon,Expedited,Shirt,L,Shipped,1,399,PIMPRI pune,MAHARASHTRA,411017,FALSE,
119705,171-0038464-4167507,06/07/22,Shipped,Amazon,Expedited,T-shirt,S,Shipped,1,635,CUTTACK,ODISHA,753004,FALSE,
31060,171-0038596-5582722,04/12/22,Shipped,Amazon,Expedited,Shirt,XXL,Shipped,1,399,HOWRAH,WEST BENGAL,711104,FALSE,
100066,171-0038978-4855529,06-21-22,Shipped,Amazon,Expedited,Blazzer,M,Shipped,1,564,RAJKOT,Gujarat,360004,FALSE,
41375,171-0039917-7648374,04/05/22,Cancelled,Merchant,Standard,T-shirt,S,On the Way,0,615.24,RAIPUR,CHHATTISGARH,492001,FALSE,Easy Ship
74295,171-0040661-6643541,05/11/22,Returned to Seller,Merchant,Standard,T-shirt,XL,Shipped,1,999,ELURU,ANDHRA PRADESH,534001,FALSE,Easy Ship
74296,171-0040661-6643541,05/11/22,Returned to Seller,Merchant,Standard,T-shirt,L,On the Way,0,,ELURU,ANDHRA PRADESH,534001,FALSE,Easy Ship
74373,171-0040703-2725934,05/11/22,Delivered to Buyer,Merchant,Standard,Blazzer,3XL,Shipped,1,771,hyderabad,TELANGANA,500080,FALSE,Easy Ship
38791,171-0040752-7826747,04/07/22,Delivered to Buyer,Merchant,Standard,Blazzer,L,Shipped,1,715,HYDERABAD,TELANGANA,500039,FALSE,Easy Ship
84303,171-0042571-2926720,05/04/22,Delivered to Buyer,Merchant,Standard,Shirt,3XL,Shipped,1,352,MUMBAI,MAHARASHTRA,400086,TRUE,Easy Ship
85325,171-0044646-3753922,05/03/22,Shipped,Amazon,Expedited,Shirt,5XL,Shipped,1,431,ALAGAPPAPURAM,TAMIL NADU,629401,FALSE,
88862,171-0045484-6572309,05/02/22,Shipped,Amazon,Expedited,T-shirt,XS,Shipped,1,1093,Sarita vihar,New Delhi,110076,FALSE,
12025,171-0045514-4565900,04-23-22,Shipped,Amazon,Expedited,Shirt,L,Shipped,1,435,NEW DELHI,DELHI,110006,FALSE,
97603,171-0045811-5384315,06-23-22,Delivered to Buyer,Merchant,Standard,Shirt,XXL,Shipped,1,389,BENGALURU,KARNATAKA,560100,FALSE,Easy Ship
90197,171-0046965-5530766,05/01/22,Cancelled,Amazon,Expedited,T-shirt,M,Unshipped,1,1186,BURLA,ODISHA,768017,FALSE,
71091,171-0047071-2992309,05-14-22,Delivered to Buyer,Merchant,Standard,Shirt,L,Shipped,1,499,Vijayapura,KARNATAKA,586130,FALSE,Easy Ship
104170,171-0047115-5987510,06-18-22,Shipped,Amazon,Expedited,Shirt,XS,Shipped,1,325,NEW DELHI,DELHI,110047,FALSE,
127551,171-0047384-1842700,06/01/22,Shipped,Amazon,Expedited,T-shirt,XXL,Shipped,1,999,NEW DELHI,DELHI,110060,FALSE,
102397,171-0047526-2364374,06-19-22,Shipped,Amazon,Expedited,Trousers,XS,Shipped,1,512,MUMBAI,MAHARASHTRA,400011,FALSE,
108597,171-0049696-5772372,06-14-22,Delivered to Buyer,Merchant,Standard,T-shirt,S,Shipped,1,696,BRAJARAJNAGAR,ODISHA,768233,FALSE,Easy Ship
50663,171-0049871-7683525,05-30-22,Cancelled,Amazon,Expedited,T-shirt,3XL,Cancelled,0,,PUNE,MAHARASHTRA,411036,FALSE,
59856,171-0049874-1353163,05-23-22,Shipped,Amazon,Expedited,Shirt,S,Shipped,1,435,PUNE,MAHARASHTRA,411028,FALSE,
38355,171-0049874-2281920,04/07/22,Shipped,Amazon,Expedited,T-shirt,L,Shipped,1,696,SHIROLI MIDC,MAHARASHTRA,416122,FALSE,
15232,171-0050557-1733933,04-21-22,Shipped,Amazon,Expedited,T-shirt,M,Shipped,1,612,NAGPUR,MAHARASHTRA,440018,FALSE,
110258,171-0051555-9515515,06-13-22,Cancelled,Amazon,Expedited,Shirt,S,Cancelled,0,,Redhills,TAMIL NADU,600052,FALSE,
38077,171-0051578-4882713,04/07/22,Shipped,Amazon,Expedited,Shirt,3XL,Shipped,1,517,CHENNAI,TAMIL NADU,600010,FALSE,
88867,171-0051712-8155522,05/02/22,Shipped,Amazon,Expedited,Trousers,M,Shipped,1,574,BENGALURU,KARNATAKA,560037,FALSE,
9142,171-0051793-4798739,04-24-22,Shipped,Amazon,Expedited,Shirt,L,Shipped,1,685,GREATER NOIDA,UTTAR PRADESH,201308,FALSE,
3681,171-0053093-2890710,04-28-22,Shipped,Amazon,Expedited,Blazzer,XXL,Shipped,1,807,KASHIPUR,UTTARAKHAND,244713,FALSE,
9067,171-0053450-9281940,04-24-22,Delivered to Buyer,Merchant,Standard,T-shirt,3XL,Shipped,1,1281,NAGPUR,MAHARASHTRA,441111,FALSE,Easy Ship
96414,171-0054121-2231545,06-24-22,Cancelled,Amazon,Expedited,Blazzer,S,Unshipped,1,791,HYDERABAD,TELANGANA,500081,FALSE,
113392,171-0054181-3577107,06/11/22,Shipped,Amazon,Expedited,Shirt,XXL,Shipped,1,301,NARASIMHANAICKENPALAYAM,TAMIL NADU,641031,FALSE,
22923,171-0054629-3710730,04-16-22,Delivered to Buyer,Merchant,Standard,Shirt,XXL,Shipped,1,399,JABALPUR,MADHYA PRADESH,482002,FALSE,Easy Ship
41417,171-0055112-3793908,04/05/22,Shipped,Amazon,Expedited,T-shirt,XXL,Shipped,1,747,GURUGRAM,HARYANA,122001,FALSE,
74934,171-0055358-2228363,05/10/22,Shipped,Amazon,Expedited,Shirt,M,Shipped,1,471,NEW DELHI,DELHI,110008,FALSE,
84351,171-0055632-3506733,05/04/22,Shipped,Amazon,Expedited,Trousers,3XL,Shipped,1,329,PUNE,MAHARASHTRA,411057,FALSE,
98270,171-0056117-8599500,06-23-22,Cancelled,Amazon,Expedited,T-shirt,L,Cancelled,0,,"THANE(W), thane",MAHARASHTRA,400615,FALSE,
116417,171-0056474-2445940,06/09/22,Delivered to Buyer,Merchant,Standard,T-shirt,L,Shipped,1,633,BADLAPUR,MAHARASHTRA,421503,FALSE,Easy Ship
87313,171-0056896-3348311,05/02/22,Shipped,Amazon,Expedited,T-shirt,3XL,Shipped,1,965,GURGAON,HARYANA,122018,FALSE,
87314,171-0056896-3348311,05/02/22,Shipped,Amazon,Expedited,T-shirt,3XL,Shipped,1,1260,GURGAON,HARYANA,122018,FALSE,
125675,171-0057634-4489911,06/03/22,Shipped,Amazon,Expedited,Trousers,3XL,Shipped,1,483,PANIPAT,HARYANA,132103,FALSE,
52217,171-0059118-3781121,05-29-22,Shipped,Amazon,Expedited,T-shirt,S,Shipped,1,1149,DHARMSALA,HIMACHAL PRADESH,176215,FALSE,
40465,171-0059650-0277118,04/06/22,Shipped,Amazon,Expedited,Shirt,3XL,Shipped,1,318,BASAVAKALYAN,KARNATAKA,585327,FALSE,
13760,171-0060110-2259572,04-22-22,Cancelled,Amazon,Expedited,Shirt,XS,Unshipped,1,521,KODINAR,Gujarat,362725,FALSE,
30537,171-0060627-8853960,04/12/22,Shipped,Amazon,Expedited,Shirt,L,Shipped,1,435,Airoli,MAHARASHTRA,400708,FALSE,
2551,171-0061826-2503521,04-29-22,Shipped,Amazon,Expedited,Blazzer,XS,Shipped,1,825,Bengaluru,KARNATAKA,560004,FALSE,
33839,171-0062276-3115506,04/10/22,Shipped,Amazon,Expedited,T-shirt,XL,Shipped,1,824,NOIDA,UTTAR PRADESH,201303,FALSE,
30866,171-0062784-1012303,04/12/22,Shipped,Amazon,Expedited,T-shirt,XS,Shipped,1,788,BENGALURU,KARNATAKA,560064,FALSE,
29638,171-0063678-4743531,04-13-22,Delivered to Buyer,Merchant,Standard,T-shirt,S,Shipped,1,666,BADNAWAR,MADHYA PRADESH,454660,FALSE,Easy Ship
76813,171-0064169-5023569,05/09/22,Delivered to Buyer,Merchant,Standard,Shirt,L,Shipped,1,771,"Avanyapuram , Madurai",TAMIL NADU,625012,TRUE,Easy Ship
571,171-0065908-0641927,04-30-22,Cancelled,Amazon,Expedited,Blazzer,XXL,Unshipped,1,899,MYSURU,KARNATAKA,570001,FALSE,
3120,171-0066199-7241921,04-28-22,Delivered to Buyer,Merchant,Standard,T-shirt,XXL,Shipped,1,1399,YAVATMAL,MAHARASHTRA,445001,FALSE,Easy Ship
60421,171-0066311-7788322,05-23-22,Cancelled,Merchant,Standard,T-shirt,L,On the Way,0,981.25,NEW DELHI,DELHI,110017,FALSE,Easy Ship
83292,171-0066421-6919543,05/04/22,Cancelled,Amazon,Expedited,T-shirt,XS,Unshipped,1,519,THANE,MAHARASHTRA,401107,FALSE,
22093,171-0066838-0924321,04-17-22,Cancelled,Merchant,Standard,T-shirt,L,On the Way,0,,DEHRADUN,UTTARAKHAND,248001,FALSE,Easy Ship
81205,171-0067174-7781942,05/06/22,Shipped,Amazon,Expedited,T-shirt,XXL,Shipped,1,872,NOIDA,UTTAR PRADESH,201305,FALSE,
47090,171-0067674-7809137,04/02/22,Shipped,Amazon,Expedited,T-shirt,3XL,Shipped,1,1245,HYDERABAD,TELANGANA,500090,FALSE,
49022,171-0068078-2649972,03-31-22,Cancelled,Merchant,Standard,Blazzer,L,On the Way,0,724.76,Vijay Pore,JAMMU & KASHMIR,184120,FALSE,Easy Ship
22931,171-0068457-6386722,04-16-22,Cancelled,Merchant,Standard,Blazzer,S,On the Way,0,708.57,KALWAN,MAHARASHTRA,423501,FALSE,Easy Ship
125184,171-0068548-8897908,06/03/22,Shipped,Amazon,Expedited,T-shirt,XL,Shipped,1,1323,PAONTA SAHIB,HIMACHAL PRADESH,173025,FALSE,
25482,171-0068725-8601161,04-15-22,Shipped,Amazon,Expedited,T-shirt,XL,Shipped,1,1238,COIMBATORE,TAMIL NADU,641030,FALSE,
29456,171-0069338-9934722,04-13-22,Cancelled,Amazon,Expedited,Shirt,XL,Cancelled,0,,AHMEDABAD,Gujarat,380015,FALSE,
54041,171-0069867-8044326,05-28-22,Delivered to Buyer,Merchant,Standard,Shirt,XL,Shipped,1,777,FAIZABAD,UTTAR PRADESH,224001,FALSE,Easy Ship
80021,171-0072515-6624314,05/07/22,Shipped,Amazon,Expedited,Shirt,S,Shipped,1,626,DEHRADUN,UTTARAKHAND,248002,FALSE,
68770,171-0073950-9917974,05-15-22,Delivered to Buyer,Merchant,Standard,Blazzer,3XL,Shipped,1,771,BHOPAL,MADHYA PRADESH,462038,FALSE,Easy Ship
29833,171-0074297-1504326,04-13-22,Cancelled,Amazon,Expedited,Shirt,S,Unshipped,1,517,VISAKHAPATNAM,ANDHRA PRADESH,530003,FALSE,
76057,171-0074653-9425955,05/09/22,Cancelled,Amazon,Expedited,Trousers,M,Cancelled,0,,NEW DELHI,DELHI,110009,FALSE,
108089,171-0075009-1314747,06-15-22,Shipped,Amazon,Expedited,Shirt,S,Shipped,1,399,PUNE,MAHARASHTRA,411057,FALSE,
70680,171-0075055-8629156,05-14-22,Shipped,Amazon,Expedited,T-shirt,L,Shipped,1,560,MUMBai,MAHARASHTRA,400065,FALSE,
40659,171-0075305-1759540,04/06/22,Shipped,Amazon,Expedited,Trousers,L,Shipped,1,518,BENGALURU,KARNATAKA,560062,FALSE,
114228,171-0075515-9361937,06/10/22,Shipped,Amazon,Expedited,Shirt,S,Shipped,1,457,KOLKATA,WEST BENGAL,700016,FALSE,
119319,171-0076341-8261917,06/07/22,Delivered to Buyer,Merchant,Standard,Shirt,4XL,Shipped,1,836,MUMBAI,MAHARASHTRA,400058,FALSE,Easy Ship
77618,171-0076427-2958746,05/08/22,Cancelled,Merchant,Standard,Trousers,M,On the Way,0,463.81,KOLKATA,WEST BENGAL,700008,FALSE,Easy Ship
80668,171-0078351-4822722,05/06/22,Delivered to Buyer,Merchant,Standard,Blazzer,S,Shipped,1,725,THIRUVANANTHAPURAM,KERALA,695562,FALSE,Easy Ship
119554,171-0078930-0217918,06/07/22,Shipped,Amazon,Expedited,T-shirt,S,Shipped,1,598,BENGALURU,KARNATAKA,562149,FALSE,
28379,171-0079497-7169979,04-13-22,Shipped,Amazon,Expedited,T-shirt,S,Shipped,1,968,BADNAWAR,MADHYA PRADESH,454660,FALSE,
55615,171-0081482-3671537,05-26-22,Cancelled,Amazon,Expedited,Blazzer,M,Cancelled,0,,KURNOOL,ANDHRA PRADESH,518001,FALSE,
3365,171-0081554-6093915,04-28-22,Shipped,Amazon,Expedited,Shirt,XXL,Shipped,1,376,HYDERABAD,TELANGANA,500068,FALSE,
117366,171-0083191-7717156,06/08/22,Shipped,Amazon,Expedited,Shirt,XXL,Shipped,1,496,LUCKNOW,UTTAR PRADESH,226003,FALSE,
98621,171-0083604-6344379,06-22-22,Shipped,Amazon,Expedited,Blazzer,M,Shipped,1,1091,New Town,WEST BENGAL,700156,FALSE,
61385,171-0084626-8900337,05-22-22,Shipped,Amazon,Expedited,Shirt,L,Shipped,1,399,PUDUCHERRY 605003,PUDUCHERRY,605003,FALSE,
61386,171-0084626-8900337,05-22-22,Shipped,Amazon,Expedited,Shirt,L,Shipped,1,449,PUDUCHERRY 605003,PUDUCHERRY,605003,FALSE,
75850,171-0085140-6937160,05/10/22,Shipped,Amazon,Expedited,T-shirt,3XL,Shipped,1,495,MUMBAI,MAHARASHTRA,400053,TRUE,
19412,171-0085422-6377954,04-19-22,Shipped,Amazon,Expedited,T-shirt,M,Shipped,1,612,VELLORE,TAMIL NADU,632007,FALSE,
97448,171-0086547-2297968,06-23-22,Shipped,Amazon,Expedited,T-shirt,M,Shipped,1,641,HYDERABAD,TELANGANA,500018,FALSE,
38972,171-0086599-5514735,04/07/22,Shipped,Amazon,Expedited,T-shirt,3XL,Shipped,1,1133,NEW DELHI,DELHI,110092,FALSE,
102671,171-0086633-7201926,06-19-22,Cancelled,Amazon,Expedited,Shirt,S,Cancelled,0,,PATNA,BIHAR,800001,FALSE,
74848,171-0087349-0461950,05/10/22,Shipped,Amazon,Expedited,Shirt,XL,Shipped,1,469,RAMPACHODAVARAM,ANDHRA PRADESH,533288,FALSE,
74849,171-0087349-0461950,05/10/22,Shipped,Amazon,Expedited,T-shirt,XL,Shipped,1,759,RAMPACHODAVARAM,ANDHRA PRADESH,533288,FALSE,
81469,171-0088041-1405908,05/06/22,Delivered to Buyer,Merchant,Standard,T-shirt,XL,Shipped,1,666,NEW DELHI,DELHI,110023,FALSE,Easy Ship
99095,171-0088192-2493940,06-22-22,Shipped,Amazon,Expedited,Shirt,L,Shipped,1,534,DARBHANGA,BIHAR,846003,FALSE,
108207,171-0088580-9807571,06-15-22,Shipped,Amazon,Expedited,T-shirt,M,Shipped,1,635,THANE,MAHARASHTRA,400610,FALSE,
59823,171-0088624-5239571,05-23-22,Shipped,Amazon,Expedited,Trousers,XXL,Shipped,1,513,THANE,MAHARASHTRA,400603,FALSE,
106184,171-0088637-7923555,06-16-22,Shipped,Amazon,Expedited,Shirt,M,Shipped,1,376,BENGALURU,KARNATAKA,560064,FALSE,
